"","DATE","TIME","CH4_dry","CO2_dry","CO","Fractional_hours","N_points","track_seg_point_id","ele","time","geometry"
"100","2020-11-30","04:12:11.710",1.8420967393,440.492367585,0.15998794463,"8033.1908",2,294,85.69,2020-11-30 17:11:27,c(174.7136719711, -36.8859000597)
"101","2020-11-30","04:12:16.641",1.84315811755,427.758230325,0.020106644055,"8033.1922",2,295,85.69,2020-11-30 17:11:32,c(174.7132372018, -36.8863300513)
"102","2020-11-30","04:12:22.161",1.83866673965,444.19528851,0.0413148464755,"8033.1936",2,296,79.93,2020-11-30 17:11:37,c(174.7128165141, -36.8867686763)
"103","2020-11-30","04:12:32.707",1.83451285115,426.63160998,-0.1461553718675,"8033.1964",2,298,80.89,2020-11-30 17:11:47,c(174.7121966723, -36.8873901106)
"104","2020-11-30","04:12:38.036",1.83466088625,420.82112962,-0.19115198258,"8033.1978",2,299,81.37,2020-11-30 17:11:52,c(174.7120951675, -36.8874963932)
"105","2020-11-30","04:12:42.957",1.83244994515,415.87985841,-0.23589285083,"8033.1992",2,300,80.89,2020-11-30 17:11:57,c(174.7120843548, -36.8875056971)
"106","2020-11-30","04:12:48.773",1.8410268086,412.49383423,-0.23273681967,"8033.2006",1,301,81.37,2020-11-30 17:12:02,c(174.7120903898, -36.8875062)
"107","2020-11-30","04:12:51.236",1.8310956003,418.429107325,-0.0787218181545,"8033.2019",2,302,81.37,2020-11-30 17:12:07,c(174.7120950837, -36.8875051104)
"108","2020-11-30","04:12:56.147",1.84134149015,571.709871445,4.1740285437,"8033.2033",2,303,81.37,2020-11-30 17:12:12,c(174.7120990232, -36.8875053618)
"109","2020-11-30","04:13:01.250",1.85352834735,521.029279325,0.73301231245,"8033.2047",2,304,81.37,2020-11-30 17:12:17,c(174.7120576166, -36.8875534739)
"110","2020-11-30","04:13:07.924",1.83841508795,518.85887218,0.35014487249,"8033.2061",2,305,81.85,2020-11-30 17:12:22,c(174.7118479852, -36.8877631053)
"111","2020-11-30","04:13:13.528",1.834300836,525.30338407,0.5704700369,"8033.2075",1,306,81.85,2020-11-30 17:12:27,c(174.711652603, -36.8879473396)
"112","2020-11-30","04:13:16.838",1.8320702855,492.454496265,-0.113139659497,"8033.2089",2,307,82.81,2020-11-30 17:12:32,c(174.7115228511, -36.8880723976)
"113","2020-11-30","04:13:21.694",1.8340002467,435.95662945,-0.151809494475,"8033.2103",2,308,83.29,2020-11-30 17:12:37,c(174.7114708833, -36.8881127145)
"114","2020-11-30","04:13:27.111",1.83025865415,426.779090795,-0.17918843114,"8033.2117",2,309,82.81,2020-11-30 17:12:42,c(174.7114665247, -36.8881086912)
"115","2020-11-30","04:13:32.061",1.83127919265,461.585749,-0.17357378041,"8033.2131",2,310,82.81,2020-11-30 17:12:47,c(174.71146686, -36.88810274)
"116","2020-11-30","04:13:37.302",1.83252686055,445.391621165,-0.201392328955,"8033.2144",2,311,82.33,2020-11-30 17:12:52,c(174.7114656027, -36.8880988006)
"117","2020-11-30","04:13:42.180",1.83189245565,436.290110205,-0.18937325829,"8033.2158",2,312,82.33,2020-11-30 17:12:57,c(174.71146225, -36.8880980462)
"118","2020-11-30","04:13:47.148",1.8328035265,454.855862845,-0.170149001745,"8033.2172",2,313,82.33,2020-11-30 17:13:02,c(174.7114648484, -36.8880949449)
"119","2020-11-30","04:13:52.082",1.8329352839,444.43377107,-0.1021627374455,"8033.2186",2,314,81.85,2020-11-30 17:13:07,c(174.7114684526, -36.8880926818)
"120","2020-11-30","04:14:03.081",1.8327121804,449.39129336,-0.1503302071,"8033.2214",2,316,81.85,2020-11-30 17:13:17,c(174.7114716377, -36.8880914245)
"121","2020-11-30","04:14:08.071",1.8337270458,445.952337305,-0.17008892943,"8033.2228",2,317,82.33,2020-11-30 17:13:22,c(174.7114733141, -36.8880910054)
"122","2020-11-30","04:14:13.405",1.83375777195,438.433913815,-0.20631871547,"8033.2242",2,318,81.85,2020-11-30 17:13:27,c(174.7114758287, -36.8880895805)
"123","2020-11-30","04:14:18.276",1.8320986214,424.36018697,-0.203628995705,"8033.2256",2,319,81.85,2020-11-30 17:13:32,c(174.7114802711, -36.8880894128)
"124","2020-11-30","04:14:20.844",1.8331830251,424.693548073333,-0.190465011686667,"8033.2269",3,320,82.33,2020-11-30 17:13:37,c(174.7114419658, -36.8881394528)
"125","2020-11-30","04:14:25.696",1.83818876793333,466.84500182,0.619990541906667,"8033.2283",3,321,81.85,2020-11-30 17:13:42,c(174.7113987152, -36.8881816976)
"126","2020-11-30","04:14:33.135",1.84660241575,582.05734445,1.037229858065,"8033.2297",2,322,81.85,2020-11-30 17:13:47,c(174.7114098631, -36.8881843798)
"127","2020-11-30","04:14:38.029",1.8361202251,475.97068934,0.0539333773595,"8033.2311",2,323,81.85,2020-11-30 17:13:52,c(174.7113703843, -36.8882246967)
"128","2020-11-30","04:14:42.878",1.83652485305,537.91244686,0.0513748695815,"8033.2325",2,324,82.81,2020-11-30 17:13:57,c(174.7111297399, -36.8884598929)
"129","2020-11-30","04:14:47.736",1.83485908585,462.83603396,-0.151064730815,"8033.2339",2,325,83.77,2020-11-30 17:14:02,c(174.7107951343, -36.888774801)
"130","2020-11-30","04:14:52.634",1.83445109065,433.23296142,-0.172647725535,"8033.2353",2,326,83.29,2020-11-30 17:14:07,c(174.7105487064, -36.88899667)
"131","2020-11-30","04:14:57.578",1.83477022635,444.67588459,-0.277228224015,"8033.2367",2,327,82.81,2020-11-30 17:14:12,c(174.7104977444, -36.8890357297)
"132","2020-11-30","04:15:02.970",1.8353108674,433.44704756,-0.183061041035,"8033.2381",2,328,82.81,2020-11-30 17:14:17,c(174.71049699, -36.8890431058)
"133","2020-11-30","04:15:07.927",1.836090261,441.378500995,0.096164165635,"8033.2394",2,329,82.33,2020-11-30 17:14:22,c(174.7105042823, -36.8890442792)
"134","2020-11-30","04:15:12.898",1.8388688352,438.275217585,0.02527168018,"8033.2408",2,330,81.85,2020-11-30 17:14:27,c(174.7105072998, -36.8890436925)
"135","2020-11-30","04:15:19.191",1.8507227971,418.43757044,-0.17754919098,"8033.2422",1,331,81.85,2020-11-30 17:14:32,c(174.7105123289, -36.8890491407)
"136","2020-11-30","04:15:21.673",1.8338556368,417.433282535,-0.18423795758,"8033.2436",2,332,82.33,2020-11-30 17:14:37,c(174.7105256561, -36.8890524935)
"137","2020-11-30","04:15:31.401",1.8347760855,423.82646257,-0.17485618197,"8033.2464",2,334,81.85,2020-11-30 17:14:47,c(174.7105328646, -36.8890463747)
"138","2020-11-30","04:15:36.246",1.83545946513333,442.529442123333,-0.15570805683,"8033.2478",3,335,81.85,2020-11-30 17:14:52,c(174.7105346248, -36.8890483864)
"139","2020-11-30","04:15:41.131",1.83725179713333,475.045322536667,-0.117530426816667,"8033.2492",3,336,81.85,2020-11-30 17:14:57,c(174.7105330322, -36.8890447821)
"140","2020-11-30","04:15:45.938",1.83733627766667,481.78519064,-0.123839768436667,"8033.2506",3,337,81.37,2020-11-30 17:15:02,c(174.7105300985, -36.8890386634)
"141","2020-11-30","04:15:50.828",1.8372312679,472.00762217,-0.13183105992,"8033.2519",3,338,81.37,2020-11-30 17:15:07,c(174.710526159, -36.8890327122)
